id,url,primaryTitle,type,description,primaryImage,contentRating,startYear,endYear,releaseDate,budget,grossWorldwide,isAdult,runtimeMinutes,averageRating,numVotes
tt0111161,https://www.imdb.com/title/tt0111161/,The Shawshank Redemption,movie,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",https://m.media-amazon.com/images/M/MV5BMDAyY2FhYjctNDc5OS00MDNlLThiMGUtY2UxYWVkNGY2ZjljXkEyXkFqcGc@._V1_.jpg,R,1994,,1994-10-14,25000000,29332133,false,142,9.3,3019758
tt0068646,https://www.imdb.com/title/tt0068646/,The Godfather,movie,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,https://m.media-amazon.com/images/M/MV5BYTJkNGQyZDgtZDQ0NC00MDM0LWEzZWQtYzUzZDEwMDljZWNjXkEyXkFqcGc@._V1_.jpg,R,1972,,1972-03-24,6000000,250342198,false,175,9.2,2107434
tt0468569,https://www.imdb.com/title/tt0468569/,The Dark Knight,movie,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_.jpg,PG-13,2008,,2008-07-18,185000000,1009053678,false,152,9.0,2996039
tt0071562,https://www.imdb.com/title/tt0071562/,The Godfather Part II,movie,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",https://m.media-amazon.com/images/M/MV5BNzc1OWY5MjktZDllMi00ZDEzLWEwMGItYjk1YmRhYjBjNTVlXkEyXkFqcGc@._V1_.jpg,R,1974,,1974-12-18,13000000,47964222,false,202,9.0,1419319
tt0050083,https://www.imdb.com/title/tt0050083/,12 Angry Men,movie,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,https://m.media-amazon.com/images/M/MV5BYjE4NzdmOTYtYjc5Yi00YzBiLWEzNDEtNTgxZGQ2MWVkN2NiXkEyXkFqcGc@._V1_.jpg,Approved,1957,,1957-04-10,350000,2945,false,96,9.0,916629
tt0167260,https://www.imdb.com/title/tt0167260/,The Lord of the Rings: The Return of the King,movie,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,https://m.media-amazon.com/images/M/MV5BMTZkMjBjNWMtZGI5OC00MGU0LTk4ZTItODg2NWM3NTVmNWQ4XkEyXkFqcGc@._V1_.jpg,PG-13,2003,,2003-12-17,94000000,1138263151,false,201,9.0,2063375
tt0108052,https://www.imdb.com/title/tt0108052/,Schindler's List,movie,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",https://m.media-amazon.com/images/M/MV5BNjM1ZDQxYWUtMzQyZS00MTE1LWJmZGYtNGUyNTdlYjM3ZmVmXkEyXkFqcGc@._V1_.jpg,R,1993,,1994-02-04,22000000,322161245,false,195,9.0,1511813
tt0110912,https://www.imdb.com/title/tt0110912/,Pulp Fiction,movie,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",https://m.media-amazon.com/images/M/MV5BYTViYTE3ZGQtNDBlMC00ZTAyLTkyODMtZGRiZDg0MjA2YThkXkEyXkFqcGc@._V1_.jpg,R,1994,,1994-10-14,8000000,213928762,false,154,8.9,2317096
tt0120737,https://www.imdb.com/title/tt0120737/,The Lord of the Rings: The Fellowship of the Ring,movie,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,https://m.media-amazon.com/images/M/MV5BNzIxMDQ2YTctNDY4MC00ZTRhLTk4ODQtMTVlOWY4NTdiYmMwXkEyXkFqcGc@._V1_.jpg,PG-13,2001,,2001-12-19,93000000,888159923,false,178,8.9,2092318
tt0060196,https://www.imdb.com/title/tt0060196/,"The Good, the Bad and the Ugly",movie,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,https://m.media-amazon.com/images/M/MV5BMWM5ZjQxM2YtNDlmYi00ZDNhLWI4MWUtN2VkYjBlMTY1ZTkwXkEyXkFqcGc@._V1_.jpg,R,1966,,1967-12-29,1200000,25264999,false,178,8.8,846740
tt0109830,https://www.imdb.com/title/tt0109830/,Forrest Gump,movie,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",https://m.media-amazon.com/images/M/MV5BNDYwNzVjMTItZmU5YS00YjQ5LTljYjgtMjY2NDVmYWMyNWFmXkEyXkFqcGc@._V1_.jpg,PG-13,1994,,1994-07-06,55000000,678226465,false,142,8.8,2360789
